Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Rolling_17d_Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,,
2/25/00,84.23703766,133.328125,136.71875,133.125,135.1875,10559900,-0.003619815,-0.083261873,-0.053991
2/28/00,86.00411987,136.125,136.6875,132.71875,133.375,13397800,0.020977497,-0.064031001,-0.035002019
2/29/00,86.83335114,137.4375,137.4375,135.75,136.0625,8242500,0.009641762,-0.055006611,-0.040157155
3/1/00,87.46513367,138.4375,139,137.21875,137.625,6868000,0.007275805,-0.048131023,-0.029148174
3/2/00,87.52438354,138.53125,139.125,137.34375,138.6875,7600200,0.000677411,-0.047486216,-0.026997273
3/3/00,89.16313934,141.125,141.71875,139.71875,140.4375,12770300,0.01872342,-0.029651901,-0.022086988
3/6/00,88.29439545,139.75,141.34375,138.75,140.8125,11967100,-0.009743308,-0.039106301,-0.010838033
3/7/00,86.58656311,137.046875,140.15625,135.21875,140,20062000,-0.019342477,-0.057692365,-0.031898518
3/8/00,86.47798157,136.875,137.84375,135.03125,136.46875,11808500,-0.001254023,-0.058874041,-0.013068857
3/9/00,89.00518799,140.875,140.875,136.125,137.25,5500900,0.029223698,-0.03137086,0.00985637
3/10/00,88.53133392,140.125,142,139.53125,140.1875,7924600,-0.005323893,-0.036527737,-0.006755938
3/13/00,87.56390381,138.59375,140.46875,135.6875,136.6875,10540500,-0.010927545,-0.047056124,-0.002922555
3/14/00,86.31999207,136.625,140.09375,136.15625,139.28125,8263900,-0.014205759,-0.060593415,-0.011977168
3/15/00,88.33388519,139.8125,140.4375,136.0625,136.875,10300800,0.023330553,-0.03867654,0.033256326
3/16/00,92.46031952,146.34375,146.84375,140.875,141.625,25601400,0.046714059,0.006230781,0.084278684
3/17/00,93.07142639,146.9375,148,145.4375,145.8125,10272900,0.006609396,0.012881359,0.078707517
3/20/00,92.59635925,146.1875,147.34375,144.78125,146.875,12502300,-0.005104329,0.007711279,0.095256672
3/21/00,94.49658966,149.1875,149.75,144.5,145.53125,13612600,0.020521654,0.028391181,0.121793837
3/22/00,95.07061768,150.09375,150.84375,148.6875,149.5625,8260000,0.00607459,0.034638236,0.105419343
3/23/00,96.69374084,152.65625,153.46875,149.15625,149.15625,11654500,0.017072816,0.052302424,0.113555328
3/24/00,97.26772308,153.5625,155.75,151.71875,152.875,11462900,0.005936085,0.05854898,0.112074252
3/27/00,96.2385025,151.9375,153.78125,151.8125,153.375,8798600,-0.010581317,0.047348138,0.099562186
3/28/00,95.68424988,151.0625,152.984375,150.59375,151.25,6334400,-0.005759157,0.041316296,0.073136843
3/29/00,95.78314972,151.21875,152.484375,149.65625,151.5625,6747500,0.001033606,0.042392607,0.084815738
3/30/00,94.17984772,148.6875,151.921875,147.125,150.15625,9491900,-0.016738873,0.024944129,0.087695877
3/31/00,95.24879456,150.375,152.3125,148.4375,149.625,9249100,0.011350059,0.036577306,0.101422499
4/3/00,95.80299377,151.25,151.25,148.6875,150.125,8508200,0.005818438,0.042608567,0.076375388
4/4/00,95.09043121,150.125,153,141.390625,151.75,19585500,-0.00743779,0.034853863,0.074087862
4/5/00,94.49658966,149.1875,150.8125,147.625,147.875,8387200,-0.006245019,0.028391181,0.079172873
4/6/00,95.31800842,150.484375,151.6875,149,150.25,6378500,0.008692576,0.037330549,0.104240236
4/7/00,95.9217453,151.4375,152.125,150.5,151.5625,6023600,0.006333922,0.043900921,0.085899766
4/10/00,95.54566193,150.84375,153.109375,150.3125,151.75,9624200,-0.003920731,0.039808066,0.033369368
4/11/00,95.2685318,150.40625,151.625,148.375,150,9006400,-0.002900499,0.036792103,0.023606659
4/12/00,92.65573883,146.28125,151.15625,146.15625,150.375,10779200,-0.027425561,0.008357498,0.000641273
4/13/00,91.369133,144.25,148.15625,143.78125,147.46875,12225800,-0.013885873,-0.005644427,-0.033095974
4/14/00,86.1435318,136,142.8125,133.5,142.625,29604000,-0.057192194,-0.062513804,-0.093899525
4/17/00,89.15222168,140.75,140.75,134.6875,135.1875,23918200,0.034926475,-0.029770716,-0.077993871
4/18/00,91.50769043,144.46875,144.46875,139.78125,140.5625,11069200,0.026420752,-0.004136528,-0.059218335
4/19/00,90.65649414,143.125,145.125,142.53125,144.5,6553700,-0.00930191,-0.013399961,-0.058001821
4/20/00,91.09204865,143.8125,143.9375,142.375,143.5625,8537600,0.004804449,-0.008659891,-0.047993282
4/24/00,90.10233307,142.25,143.3125,140.5,141.5,12893100,-0.010865005,-0.019430806,-0.059309144
4/25/00,93.84341431,148.15625,148.15625,144.4375,144.625,14102000,0.041520359,0.021282779,-0.003572244
4/26/00,92.78444672,146.484375,148.75,146,147.96875,7711100,-0.01128441,0.009758205,-0.025872746
4/27/00,92.47756958,146,147.34375,143,143,15595300,-0.00330742,0.00641851,-0.034711068
4/28/00,91.90358734,145.09375,147.859375,145.0625,147,8743400,-0.006206718,0.000171954,-0.033513823
5/1/00,93.15058136,147.0625,148.484375,145.84375,146.5625,7328300,0.013568502,0.013742789,-0.014243988
5/2/00,91.28996277,144.125,147.125,144.125,145.5,9411900,-0.01997431,-0.006506023,-0.04225902
5/3/00,89.15222168,140.75,144,139.78125,144,12630700,-0.023417044,-0.029770716,-0.070573399
5/4/00,89.82522583,141.8125,142.359375,140.75,142,5963600,0.007548933,-0.02244652,-0.059871228
5/5/00,90.91384125,143.53125,144,140.9375,141.0625,7862400,0.012119262,-0.010599293,-0.045709643
5/8/00,90.23099518,142.453125,143.375,141.84375,142.75,5064100,-0.007510914,-0.018030597,-0.026169384
5/9/00,89.50848389,141.3125,143.40625,140.265625,143.0625,5620300,-0.008007351,-0.025893571,-0.020364088
5/10/00,87.48949432,138.125,140.96875,137.75,140.5,10293900,-0.022556404,-0.04786591,0.01562465
5/11/00,89.48869324,141.28125,141.5,139.125,140.125,7091100,0.022850731,-0.02610895,0.003774124
5/12/00,90.45858765,142.8125,143.46875,141.625,141.8125,5960800,0.010838178,-0.015553745,-0.011464641
5/15/00,92.02237701,145.28125,145.609375,142,142.75,4441300,0.017287351,0.001464723,0.015066575
5/16/00,92.91306305,146.6875,147.71875,145.3125,146.5625,8192200,0.009679016,0.011157916,0.019990926
5/17/00,91.9431839,145.15625,146.1875,144.46875,145.6875,5907200,-0.010438566,0.000602877,0.020430668
5/18/00,90.814888,143.375,146.3125,143.375,145.625,4325600,-0.012271664,-0.011676186,-0.032272124
5/19/00,89.3897171,141.125,143.234375,140.40625,142.5625,6518400,-0.015693142,-0.027186091,-0.03658727
5/22/00,88.7167511,140.0625,141.46875,137,141.25,10839400,-0.00752845,-0.034509872,-0.040667359
5/23/00,87.41033173,138,140.8125,137.5625,140.4375,7979200,-0.014725735,-0.048727424,-0.048890971
5/24/00,88.83551788,140.25,140.6875,136.5,138,11081500,0.01630455,-0.033217352,-0.046323527
5/25/00,87.31138611,137.84375,141.8125,137.71875,140.6875,8278900,-0.017156784,-0.049804233,-0.043581754
5/26/00,87.41033173,138,139.6875,137.328125,138.8125,4814000,0.00113325,-0.048727424,-0.01953838
5/30/00,90.2607193,142.5,142.9375,139.46875,140,5362700,0.032609275,-0.017707115,0.004848231
5/31/00,90.45858765,142.8125,144,142.09375,142.5625,6056500,0.002192187,-0.015553745,-0.005007528
6/1/00,92.04211426,145.3125,145.4375,143,143.6875,8961600,0.017505542,0.00167952,0.020072028
6/2/00,93.64543915,147.84375,149.09375,147.484375,148.9375,8962200,0.01741947,0.019128247,0.046218583
6/5/00,93.19020081,147.125,148.21875,146.875,147.46875,6998100,-0.004861298,0.014173961,0.065158754
6/6/00,92.7745285,146.46875,147.78125,145.90625,146.625,4858900,-0.004460472,0.009650267,0.036717882
6/7/00,93.41784668,147.484375,148,146,146.625,4919500,0.006934211,0.016651395,0.032713965
6/8/00,93.05162048,146.90625,147.75,146.0625,147.5,5723100,-0.003920302,0.012665814,0.011184709
6/9/00,92.8536911,146.59375,147.96875,145.625,147.5,3085300,-0.002127092,0.01051178,-0.000639005
6/12/00,91.76499939,144.875,146.96875,144.875,146.96875,3678900,-0.011724808,-0.001336276,-0.001937985
6/13/00,93.48709869,147.59375,147.75,144.625,144.8125,6558700,0.018766407,0.017405053,0.029424809
6/14/00,93.64543915,147.84375,148.875,147.1875,148.25,6420500,0.001693714,0.019128247,0.047608631
6/15/00,93.84341431,148.15625,148.75,146.84375,148.125,5881200,0.002114093,0.021282779,0.057786868
6/16/00,93.07231903,146.59375,148.3125,145.875,148.3125,5567900,-0.008216829,0.012891073,0.064774806
6/19/00,94.26274109,148.46875,149.15625,146.25,146.46875,5106900,0.012790291,0.025846245,0.061092943
6/20/00,93.92545319,147.9375,148.875,147,148.1875,6480000,-0.003578168,0.022175595,0.075752629
