date_rally,rally_return(%),date_17_trading_days_after_rally,S_0,V_p_0,V_c_0,put_iv_0,call_iv_0,S_t,V_p_t,V_c_t,put_iv_t,call_iv_t,change_in_spot_price(%),change_in_put_iv(%),change_in_call_iv(%),pnl_dollars,pnl_percentage(%)
2008-10-13,14.519721899999999,2008-11-05,73.93862152,4.425,4.25,0.540762,0.452216,70.17424011,3.95,0.53999996,0.493606,0.391128,-5.09,-8.72,-13.51,-338710.7,-76.54
2008-10-28,11.6855156,2008-11-20,68.40144348,4.05,3.75,0.651912,0.553094,55.04360962,13.575,0.015,1.470264,1.571525,-19.53,125.53,184.13,-1355880.0,-334.79
2009-03-23,7.1829068,2009-04-15,60.90232086,1.915,1.6700001,0.436584,0.364805,63.14670944,0.035,0.765,0.592196,0.434524,3.69,35.64,19.11,84287.67,44.01
2020-03-13,8.5486205,2020-04-07,247.5242462,12.219999,7.46,0.570852,0.430485,245.1062317,3.1750002,0.36,0.464445,0.366145,-0.98,-18.64,-14.95,-258479.13,-21.15
2020-03-24,9.0602977,2020-04-16,224.7861938,10.635,9.63,0.590034,0.514218,258.0210876,0.16499999,24.115,0.617138,0.49397,14.79,4.59,-3.94,2646144.2,248.81
