c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
2025-04-09,SPY   250509C00440000,30,627,2025-05-09,C,440.0,65.51,65.51,65.51,106.935,2,3,0.518325,0.934082,0.518325,0.001572,-0.204801,0.197696,0.329274,107.36,106.51,543.37,-19.02,137973659,0
2025-04-09,SPY   250509C00445000,30,627,2025-05-09,C,445.0,61.38,61.38,61.38,102.055,2,0,0.501613,0.929783,0.501613,0.001706,-0.208041,0.207716,0.331365,102.47,101.64,543.37,-18.1,137973661,0
2025-04-09,SPY   250509C00450000,30,627,2025-05-09,C,450.0,80.0,80.0,80.0,97.25,2,9,0.488032,0.923918,0.488032,0.001866,-0.214458,0.22104,0.332695,97.66,96.84,543.37,-17.18,137973663,0
2025-04-09,SPY   250509C00455000,30,627,2025-05-09,C,455.0,,,,92.509995,0,4,0.476564,0.916624,0.476564,0.00205,-0.223182,0.237086,0.333334,92.92,92.1,543.37,-16.26,137973665,0
2025-04-09,SPY   250509C00460000,30,627,2025-05-09,C,460.0,53.58,82.09,52.35,87.735,13,6,0.462774,0.909553,0.462774,0.002245,-0.229546,0.25212,0.334101,88.14,87.33,543.37,-15.34,137973667,0
2025-04-09,SPY   250509C00465000,30,627,2025-05-09,C,465.0,50.11,50.11,47.5,82.990005,2,21,0.449406,0.901556,0.449406,0.002462,-0.236399,0.268545,0.334429,83.41,82.57,543.37,-14.42,137973669,0
2025-04-09,SPY   250509C00470000,30,627,2025-05-09,C,470.0,45.91,78.88,44.74,78.215,23,101,0.434191,0.893573,0.434191,0.002699,-0.24121,0.284365,0.334788,78.63,77.8,543.37,-13.5,137973671,0
2025-04-09,SPY   250509C00475000,30,627,2025-05-09,C,475.0,42.22,74.19,42.22,73.604996,16,69,0.423784,0.882319,0.423784,0.002973,-0.251369,0.305749,0.333551,74.02,73.19,543.37,-12.58,137973673,0
2025-04-09,SPY   250509C00480000,30,627,2025-05-09,C,480.0,36.17,58.81,35.45,68.665,65,45,0.401871,0.87583,0.401871,0.003257,-0.248419,0.317617,0.334714,69.05,68.28,543.37,-11.66,137973675,0
2025-04-09,SPY   250509C00485000,30,627,2025-05-09,C,485.0,32.44,58.9,32.44,64.14,30,175,0.392162,0.861786,0.392162,0.003596,-0.259195,0.342216,0.33216,64.59,63.69,543.37,-10.74,137973677,0
2025-04-09,SPY   250509C00490000,30,627,2025-05-09,C,490.0,28.44,58.32,28.44,59.815,49,117,0.38637,0.843942,0.38637,0.003962,-0.274348,0.371462,0.327746,60.21,59.42,543.37,-9.82,137973679,0
2025-04-09,SPY   250509C00495000,30,627,2025-05-09,C,495.0,26.15,57.37,25.47,55.32,156,152,0.374191,0.827883,0.374191,0.004361,-0.281843,0.395997,0.324269,55.73,54.91,543.37,-8.9,137973681,0
2025-04-09,SPY   250509C00500000,30,627,2025-05-09,C,500.0,22.92,53.08,22.52,50.725,549,296,0.358254,0.81211,0.358254,0.004814,-0.284555,0.418556,0.321001,51.17,50.28,543.37,-7.98,137973683,0
2025-04-09,SPY   250509C00505000,30,627,2025-05-09,C,505.0,19.68,46.54,19.68,46.35,147,267,0.346201,0.791909,0.346201,0.005301,-0.291118,0.445349,0.315575,46.74,45.96,543.37,-7.06,137973685,0
2025-04-09,SPY   250509C00506000,30,627,2025-05-09,C,506.0,19.94,39.73,19.64,45.73,64,51,0.349225,0.78441,0.349225,0.005366,-0.298516,0.454722,0.312735,46.29,45.17,543.37,-6.88,138102005,0
2025-04-09,SPY   250509C00507000,30,627,2025-05-09,C,507.0,18.59,45.03,18.59,44.85,12,20,0.346379,0.780237,0.346379,0.00547,-0.299191,0.459807,0.311595,45.41,44.29,543.37,-6.6899999999999995,138102007,0
2025-04-09,SPY   250509C00508000,30,627,2025-05-09,C,508.0,18.54,44.32,18.54,44.0,14,69,0.344118,0.775626,0.344118,0.005572,-0.30049,0.465319,0.310234,44.56,43.44,543.37,-6.51,138102009,0
2025-04-09,SPY   250509C00509000,30,627,2025-05-09,C,509.0,20.0,45.0,17.99,43.165,308,262,0.3421,0.770772,0.3421,0.005673,-0.302022,0.471002,0.308753,43.72,42.61,543.37,-6.33,138102011,0
2025-04-09,SPY   250509C00510000,30,627,2025-05-09,C,510.0,17.5,40.55,16.94,42.36,301,1972,0.340629,0.765505,0.340629,0.005771,-0.304123,0.477031,0.307062,42.76,41.96,543.37,-6.14,137973687,0
2025-04-09,SPY   250509C00511000,30,627,2025-05-09,C,511.0,18.07,33.28,18.07,41.489998,13,83,0.337715,0.760947,0.337715,0.005883,-0.304555,0.482135,0.305742,42.05,40.93,543.37,-5.96,138102013,0
2025-04-09,SPY   250509C00512000,30,627,2025-05-09,C,512.0,18.6,36.23,17.49,40.64,90,174,0.335147,0.756081,0.335147,0.005994,-0.305328,0.487468,0.304267,41.2,40.08,543.37,-5.77,138102015,0
2025-04-09,SPY   250509C00513000,30,627,2025-05-09,C,513.0,16.16,32.24,16.16,39.835,7,51,0.333419,0.750634,0.333419,0.006097,-0.306987,0.493298,0.302496,40.39,39.28,543.37,-5.59,138102017,0
2025-04-09,SPY   250509C00514000,30,627,2025-05-09,C,514.0,17.67,37.31,15.69,38.905,13,68,0.329088,0.746511,0.329088,0.006231,-0.305699,0.497614,0.301419,39.38,38.43,543.37,-5.41,138102019,0
2025-04-09,SPY   250509C00515000,30,627,2025-05-09,C,515.0,17.0,38.75,14.88,38.010002,190,564,0.325413,0.741897,0.325413,0.006361,-0.305092,0.502346,0.300094,38.4,37.62,543.37,-5.22,137973689,0
2025-04-09,SPY   250509C00516000,30,627,2025-05-09,C,516.0,16.19,36.09,14.45,37.415,44,61,0.327579,0.733985,0.327579,0.006418,-0.31088,0.51022,0.29705,37.97,36.86,543.37,-5.04,138102021,0
2025-04-09,SPY   250509C00517000,30,627,2025-05-09,C,517.0,16.2,33.56,15.05,36.620003,64,80,0.325678,0.728181,0.325678,0.006526,-0.3121,0.515807,0.295111,37.18,36.06,543.37,-4.85,138102023,0
2025-04-09,SPY   250509C00518000,30,627,2025-05-09,C,518.0,13.85,35.01,13.85,35.815,35,107,0.32349,0.722408,0.32349,0.006639,-0.312938,0.521207,0.293194,36.37,35.26,543.37,-4.67,138102025,0
2025-04-09,SPY   250509C00519000,30,627,2025-05-09,C,519.0,15.23,34.44,13.68,34.71,117,265,0.315501,0.719504,0.315501,0.006842,-0.307382,0.523865,0.292806,35.35,34.07,543.37,-4.48,138102027,0
2025-04-09,SPY   250509C00520000,30,627,2025-05-09,C,520.0,12.5,35.78,12.5,33.96,671,433,0.31423,0.712952,0.31423,0.006947,-0.309099,0.529717,0.290496,34.41,33.51,543.37,-4.3,137973691,0
2025-04-09,SPY   250509C00521000,30,627,2025-05-09,C,521.0,12.36,27.19,12.36,33.455,66,90,0.317415,0.704095,0.317415,0.006976,-0.315547,0.537317,0.286956,34.0,32.91,543.37,-4.12,138102029,0
2025-04-09,SPY   250509C00522000,30,627,2025-05-09,C,522.0,13.0,33.22,13.0,32.355,20,174,0.30941,0.700628,0.30941,0.007194,-0.309821,0.540195,0.286311,32.98,31.73,543.37,-3.93,138102031,0
2025-04-09,SPY   250509C00523000,30,627,2025-05-09,C,523.0,13.5,32.15,13.5,31.93,32,170,0.313768,0.69107,0.313768,0.007195,-0.31732,0.547851,0.282392,32.58,31.28,543.37,-3.75,138102033,0
2025-04-09,SPY   250509C00524000,30,627,2025-05-09,C,524.0,11.5,29.0,11.5,30.815,47,170,0.305402,0.687355,0.305402,0.007431,-0.311087,0.550717,0.281649,31.44,30.19,543.37,-3.56,138102035,0
2025-04-09,SPY   250509C00525000,30,627,2025-05-09,C,525.0,10.7,31.28,10.5,30.365,436,345,0.308991,0.678037,0.308991,0.007437,-0.317533,0.557639,0.277857,30.75,29.98,543.37,-3.38,137937879,0
2025-04-09,SPY   250509C00526000,30,627,2025-05-09,C,526.0,12.82,25.0,11.49,29.565,37,64,0.306146,0.671498,0.306146,0.007568,-0.31702,0.56227,0.275595,30.1,29.03,543.37,-3.2,138102037,0
2025-04-09,SPY   250509C00527000,30,627,2025-05-09,C,527.0,10.0,27.0,10.0,28.810001,38,91,0.304003,0.664514,0.304003,0.007686,-0.317155,0.567013,0.273096,29.34,28.28,543.37,-3.01,138063657,0
2025-04-09,SPY   250509C00528000,30,627,2025-05-09,C,528.0,9.55,30.0,9.55,28.07,76,141,0.302017,0.657328,0.302017,0.0078,-0.317353,0.571675,0.270495,28.6,27.54,543.37,-2.83,138063659,0
2025-04-09,SPY   250509C00529000,30,627,2025-05-09,C,529.0,10.23,27.09,9.41,27.075,121,89,0.295491,0.651715,0.295491,0.008021,-0.312691,0.575164,0.268806,27.7,26.45,543.37,-2.64,138063661,0
2025-04-09,SPY   250509C00530000,30,627,2025-05-09,C,530.0,8.82,28.51,8.66,26.630001,881,1055,0.298403,0.642417,0.298403,0.008019,-0.317799,0.580652,0.265019,27.02,26.24,543.37,-2.46,137937881,0
2025-04-09,SPY   250509C00531000,30,627,2025-05-09,C,531.0,8.21,26.63,8.21,25.865,133,124,0.295653,0.635076,0.295653,0.00815,-0.316871,0.584729,0.26237,26.41,25.32,543.37,-2.2800000000000002,138063663,0
2025-04-09,SPY   250509C00532000,30,627,2025-05-09,C,532.0,9.27,23.87,9.1,25.169998,70,61,0.293987,0.627227,0.293987,0.008254,-0.316952,0.588841,0.259435,25.71,24.63,543.37,-2.09,138063665,0
2025-04-09,SPY   250509C00533000,30,627,2025-05-09,C,533.0,7.53,26.0,7.53,24.185,184,31,0.287304,0.620724,0.287304,0.008492,-0.311725,0.592056,0.25734,24.82,23.55,543.37,-1.9100000000000001,138063667,0
2025-04-09,SPY   250509C00534000,30,627,2025-05-09,C,534.0,8.26,24.64,8.26,23.744999,240,35,0.289703,0.611401,0.289703,0.008483,-0.315756,0.596362,0.253539,25.25,22.24,543.37,-1.72,138063669,0
2025-04-09,SPY   250509C00535000,30,627,2025-05-09,C,535.0,7.5,24.53,7.29,23.07,536,716,0.288007,0.603156,0.288007,0.008583,-0.315424,0.599875,0.250411,23.45,22.69,543.37,-1.54,137937883,0
2025-04-09,SPY   250509C00536000,30,627,2025-05-09,C,536.0,7.17,23.19,7.13,22.369999,206,68,0.28577,0.594901,0.28577,0.008697,-0.314402,0.603117,0.2473,22.74,22.0,543.37,-1.3599999999999999,138063671,0
2025-04-09,SPY   250509C00537000,30,627,2025-05-09,C,537.0,6.75,22.75,6.75,21.655,122,213,0.283161,0.586561,0.283161,0.008821,-0.312862,0.606114,0.244163,22.19,21.12,543.37,-1.17,138063673,0
2025-04-09,SPY   250509C00538000,30,627,2025-05-09,C,538.0,7.47,22.88,6.48,20.744999,333,90,0.277227,0.578598,0.277227,0.009048,-0.307779,0.608716,0.241354,21.38,20.11,543.37,-0.99,138063675,0
2025-04-09,SPY   250509C00539000,30,627,2025-05-09,C,539.0,7.17,19.31,6.11,20.425,137,36,0.280844,0.568962,0.280844,0.008973,-0.31232,0.611527,0.237314,20.68,20.17,543.37,-0.8,138063677,0
2025-04-09,SPY   250509C00540000,30,627,2025-05-09,C,540.0,5.83,20.99,5.59,19.665,1467,5053,0.277115,0.560288,0.277115,0.009127,-0.309198,0.613741,0.234065,20.04,19.29,543.37,-0.62,137937885,0
2025-04-09,SPY   250509C00541000,30,627,2025-05-09,C,541.0,13.08,20.0,12.55,18.975,169,335,0.274399,0.551296,0.274399,0.009247,-0.306958,0.615723,0.230616,19.44,18.51,543.37,-0.44,138063679,0
2025-04-09,SPY   250509C00542000,30,627,2025-05-09,C,542.0,5.3,18.55,5.3,18.330002,275,363,0.272277,0.542091,0.272277,0.009344,-0.305167,0.617422,0.227035,18.79,17.87,543.37,-0.25,138063681,0
2025-04-09,SPY   250509C00543000,30,627,2025-05-09,C,543.0,4.96,18.04,4.78,17.654999,34,102,0.269529,0.532743,0.269529,0.009461,-0.302573,0.618806,0.223415,17.88,17.43,543.37,-0.07,138063683,0
2025-04-09,SPY   250509C00544000,30,627,2025-05-09,C,544.0,5.06,18.98,5.06,17.025,148,292,0.267365,0.52322,0.267365,0.009554,-0.30041,0.619863,0.21968,17.48,16.57,543.37,0.12,138063685,0
2025-04-09,SPY   250509C00545000,30,627,2025-05-09,C,545.0,4.5,17.8,4.45,16.485,266,776,0.266504,0.513627,0.266504,0.009596,-0.299418,0.62057,0.215839,16.84,16.13,543.37,0.3,137937887,0
2025-04-09,SPY   250509C00546000,30,627,2025-05-09,C,546.0,4.7,17.07,4.7,15.790001,84,384,0.262994,0.503722,0.262994,0.009729,-0.295529,0.620922,0.211987,16.02,15.56,543.37,0.48,138063687,0
2025-04-09,SPY   250509C00547000,30,627,2025-05-09,C,547.0,5.04,16.54,4.38,15.205,310,35,0.261103,0.493791,0.261103,0.009799,-0.29313,0.62089,0.208033,15.43,14.98,543.37,0.67,138063689,0
2025-04-09,SPY   250509C00548000,30,627,2025-05-09,C,548.0,5.0,15.27,4.48,14.55,92,693,0.257926,0.483513,0.257926,0.009913,-0.289217,0.62045,0.203981,14.8,14.3,543.37,0.85,137973693,0
2025-04-09,SPY   250509C00549000,30,627,2025-05-09,C,549.0,3.62,14.95,3.62,14.145,97,205,0.25862,0.473847,0.25862,0.009874,-0.289158,0.61966,0.199997,14.55,13.74,543.37,1.04,137973695,0
2025-04-09,SPY   250509C00550000,30,627,2025-05-09,C,550.0,3.5,14.95,3.36,13.445,1009,8704,0.25439,0.463018,0.25439,0.010016,-0.28377,0.61834,0.195736,13.66,13.23,543.37,1.22,137937889,0
2025-04-09,SPY   250509C00551000,30,627,2025-05-09,C,551.0,3.51,12.25,3.5,12.82,567,202,0.251197,0.452192,0.251197,0.010114,-0.279267,0.616561,0.191414,13.09,12.55,543.37,1.4,137973697,0
2025-04-09,SPY   250509C00552000,30,627,2025-05-09,C,552.0,3.28,11.45,3.28,12.295,46,323,0.249452,0.441646,0.249452,0.010149,-0.276102,0.614384,0.187136,12.55,12.04,543.37,1.5899999999999999,137973699,0
2025-04-09,SPY   250509C00553000,30,627,2025-05-09,C,553.0,3.71,12.9,2.94,11.74,75,316,0.247042,0.430756,0.247042,0.010203,-0.27204,0.611675,0.182729,12.01,11.47,543.37,1.77,137973701,0
2025-04-09,SPY   250509C00554000,30,627,2025-05-09,C,554.0,3.05,12.28,2.77,11.205,102,85,0.244776,0.419788,0.244776,0.010244,-0.267937,0.60847,0.17827,11.47,10.94,543.37,1.96,137973703,0
2025-04-09,SPY   250509C00555000,30,627,2025-05-09,C,555.0,2.7,11.5,2.62,10.765,4463,4754,0.243893,0.409359,0.243893,0.010222,-0.265153,0.604979,0.173974,11.02,10.51,543.37,2.14,137937891,0
2025-04-09,SPY   250509C00556000,30,627,2025-05-09,C,556.0,2.65,10.73,2.57,10.195,251,376,0.240673,0.397721,0.240673,0.010283,-0.259621,0.600567,0.169245,10.46,9.93,543.37,2.32,137937893,0
2025-04-09,SPY   250509C00557000,30,627,2025-05-09,C,557.0,3.0,10.2,2.25,9.705,399,236,0.238584,0.386532,0.238584,0.010291,-0.255136,0.59581,0.164651,9.97,9.44,543.37,2.51,137937895,0
2025-04-09,SPY   250509C00557500,30,627,2025-05-09,C,557.5,2.82,7.92,2.29,9.48,14,186,0.237802,0.381063,0.237802,0.010281,-0.253117,0.593299,0.162393,9.72,9.24,543.37,2.6,137937897,0
2025-04-09,SPY   250509C00558000,30,627,2025-05-09,C,558.0,4.46,10.4,4.46,9.245,33,138,0.236803,0.375452,0.236803,0.010277,-0.250809,0.590596,0.16008,9.48,9.01,543.37,2.69,137937899,0
2025-04-09,SPY   250509C00559000,30,627,2025-05-09,C,559.0,2.25,9.87,2.25,8.780001,89,376,0.234738,0.364139,0.234738,0.010265,-0.245979,0.584752,0.15541,9.02,8.54,543.37,2.88,137937901,0
2025-04-09,SPY   250509C00560000,30,627,2025-05-09,C,560.0,2.03,9.33,1.83,8.42,5955,4550,0.234279,0.353896,0.234279,0.010184,-0.242816,0.579003,0.151131,8.73,8.11,543.37,3.06,137937903,0
2025-04-09,SPY   250509C00561000,30,627,2025-05-09,C,561.0,1.81,8.59,1.81,7.8550005,131,572,0.230059,0.340926,0.230059,0.010229,-0.235128,0.571092,0.145803,8.1,7.61,543.37,3.24,137937905,0
2025-04-09,SPY   250509C00562000,30,627,2025-05-09,C,562.0,2.27,8.2,1.65,7.4449997,382,432,0.228312,0.329692,0.228312,0.010173,-0.230124,0.563662,0.141123,7.68,7.21,543.37,3.43,137937907,0
2025-04-09,SPY   250509C00562500,30,627,2025-05-09,C,562.5,1.97,7.81,1.97,7.245,21,154,0.227447,0.324082,0.227447,0.010141,-0.22757,0.559749,0.138782,7.48,7.01,543.37,3.52,137937909,0
2025-04-09,SPY   250509C00563000,30,627,2025-05-09,C,563.0,1.79,7.5,1.79,7.0299997,37,125,0.226258,0.318199,0.226258,0.010117,-0.224589,0.555499,0.136331,7.24,6.82,543.37,3.61,137937911,0
2025-04-09,SPY   250509C00564000,30,627,2025-05-09,C,564.0,1.65,7.67,1.51,6.6400003,127,109,0.224431,0.306893,0.224431,0.010042,-0.219163,0.546905,0.131603,6.86,6.42,543.37,3.8,137937913,0
2025-04-09,SPY   250509C00565000,30,627,2025-05-09,C,565.0,1.51,7.28,1.38,6.27,5655,4064,0.222746,0.295738,0.222746,0.009951,-0.213758,0.53787,0.126925,6.49,6.05,543.37,3.98,137937915,0
2025-04-09,SPY   250509C00566000,30,627,2025-05-09,C,566.0,1.65,6.65,1.3,5.855,166,207,0.219979,0.283572,0.219979,0.009879,-0.206869,0.527376,0.121832,6.08,5.63,543.37,4.16,137937917,0
2025-04-09,SPY   250509C00567000,30,627,2025-05-09,C,567.0,1.7,5.67,1.21,5.495,76,294,0.217997,0.272171,0.217997,0.009771,-0.200801,0.516923,0.117037,5.71,5.28,543.37,4.35,137937919,0
2025-04-09,SPY   250509C00567500,30,627,2025-05-09,C,567.5,3.5,5.6,3.5,5.3450003,8,62,0.217498,0.266997,0.217498,0.0097,-0.198338,0.511979,0.114849,5.58,5.11,543.37,4.44,137937921,0
2025-04-09,SPY   250509C00568000,30,627,2025-05-09,C,568.0,1.6,5.43,1.16,5.175,22,1438,0.216552,0.261383,0.216552,0.009638,-0.195281,0.506471,0.112482,5.41,4.94,543.37,4.53,137937923,0
2025-04-09,SPY   250509C00569000,30,627,2025-05-09,C,569.0,1.37,5.37,1.02,4.89,50,211,0.215576,0.251204,0.215576,0.009483,-0.190255,0.496098,0.10817,5.16,4.62,543.37,4.72,137937925,0
2025-04-09,SPY   250509C00570000,30,627,2025-05-09,C,570.0,1.17,5.1,1.0,4.545,5421,1893,0.213144,0.239543,0.213144,0.009349,-0.183257,0.48359,0.103245,4.76,4.33,543.37,4.9,137937927,0
2025-04-09,SPY   250509C00571000,30,627,2025-05-09,C,571.0,1.08,5.05,0.89,4.225,57,763,0.210945,0.228211,0.210945,0.009197,-0.176452,0.470783,0.098448,4.43,4.02,543.37,5.08,137937929,0
2025-04-09,SPY   250509C00572000,30,627,2025-05-09,C,572.0,1.0,4.66,0.84,4.06,85,208,0.211826,0.220589,0.211826,0.008984,-0.173608,0.461797,0.095179,4.38,3.74,543.37,5.27,137937931,0
2025-04-09,SPY   250509C00572500,30,627,2025-05-09,C,572.5,1.1,3.63,0.89,3.825,39,141,0.208861,0.21285,0.208861,0.008925,-0.167681,0.45236,0.091916,4.0,3.65,543.37,5.36,137937933,0
