,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
26,2025-04-09,SPY   250509P00430000,30,627,2025-05-09,P,430.0,8.2,8.6,1.54,1.855,71309,446,0.528826,-0.050717,0.528826,0.001266,-0.140432,0.162471,-0.024175,1.91,1.8,543.37,20.86,137973656,0
27,2025-04-09,SPY   250509P00435000,30,627,2025-05-09,P,435.0,8.72,9.06,1.68,1.98,78,695,0.515189,-0.054904,0.515189,0.001384,-0.145575,0.173022,-0.026148,2.03,1.93,543.37,19.94,137973658,0
28,2025-04-09,SPY   250509P00440000,30,627,2025-05-09,P,440.0,9.65,10.12,1.78,2.13,338,70438,0.50233,-0.059538,0.50233,0.001517,-0.151607,0.188355,-0.02679,2.19,2.07,543.37,19.02,137973660,0
29,2025-04-09,SPY   250509P00445000,30,627,2025-05-09,P,445.0,10.44,10.83,1.9,2.28,251,275,0.488908,-0.064871,0.488908,0.001662,-0.157145,0.197179,-0.030846,2.35,2.21,543.37,18.1,137973662,0
30,2025-04-09,SPY   250509P00450000,30,627,2025-05-09,P,450.0,11.4,11.86,1.97,2.455,1887,1866,0.476024,-0.070712,0.476024,0.001824,-0.163368,0.210756,-0.033598,2.52,2.39,543.37,17.18,137973664,0
31,2025-04-09,SPY   250509P00455000,30,627,2025-05-09,P,455.0,12.25,12.89,2.15,2.63,214,643,0.4624,-0.076653,0.4624,0.002005,-0.169268,0.22105,-0.034257,2.7,2.56,543.37,16.26,137973666,0
32,2025-04-09,SPY   250509P00460000,30,627,2025-05-09,P,460.0,13.83,13.83,2.29,2.845,512,413,0.449849,-0.084114,0.449849,0.002203,-0.175725,0.240459,-0.039904,2.96,2.73,543.37,15.34,137973668,0
33,2025-04-09,SPY   250509P00465000,30,627,2025-05-09,P,465.0,14.8,14.82,2.55,3.06,35719,300,0.436101,-0.091568,0.436101,0.00243,-0.181962,0.254758,-0.040682,3.15,2.97,543.37,14.42,137973670,0
34,2025-04-09,SPY   250509P00470000,30,627,2025-05-09,P,470.0,15.9,16.5,2.87,3.33,762,35869,0.424272,-0.100869,0.424272,0.002672,-0.189044,0.27506,-0.047786,3.4,3.26,543.37,13.5,137973672,0
35,2025-04-09,SPY   250509P00475000,30,627,2025-05-09,P,475.0,17.75,18.0,2.95,3.6999998,746,1503,0.414243,-0.112059,0.414243,0.002967,-0.199825,0.291921,-0.049474,3.86,3.54,543.37,12.58,137973674,0
36,2025-04-09,SPY   250509P00480000,30,627,2025-05-09,P,480.0,18.84,19.68,3.29,3.975,2513,2910,0.40001,-0.122428,0.40001,0.003271,-0.205076,0.326737,-0.053757,4.17,3.78,543.37,11.66,137973676,0
37,2025-04-09,SPY   250509P00485000,30,627,2025-05-09,P,485.0,20.43,21.14,3.7,4.425,606,3592,0.39027,-0.13644,0.39027,0.003617,-0.215429,0.343551,-0.059738,4.59,4.26,543.37,10.74,137973678,0
38,2025-04-09,SPY   250509P00490000,30,627,2025-05-09,P,490.0,22.55,23.36,4.09,4.865,1582,4269,0.378446,-0.151056,0.378446,0.003994,-0.223212,0.365915,-0.065863,5.04,4.69,543.37,9.82,137973680,0
39,2025-04-09,SPY   250509P00495000,30,627,2025-05-09,P,495.0,24.77,25.25,4.5,5.34,980,1150,0.366477,-0.167167,0.366477,0.004411,-0.230581,0.402883,-0.072434,5.5,5.18,543.37,8.9,137973682,0
40,2025-04-09,SPY   250509P00500000,30,627,2025-05-09,P,500.0,26.06,27.27,5.05,5.96,3243,3072,0.356539,-0.186512,0.356539,0.004862,-0.239912,0.420142,-0.080502,6.15,5.77,543.37,7.98,137973684,0
41,2025-04-09,SPY   250509P00505000,30,627,2025-05-09,P,505.0,29.15,29.54,6.09,6.625,540,2199,0.345616,-0.207652,0.345616,0.005353,-0.247387,0.442615,-0.089119,6.81,6.44,543.37,7.06,137973686,0
42,2025-04-09,SPY   250509P00506000,30,627,2025-05-09,P,506.0,26.77,30.07,6.0,6.675,62,445,0.341482,-0.210951,0.341482,0.00547,-0.246589,0.443642,-0.090391,6.95,6.4,543.37,6.88,138102006,0
